slug,nombre,categoria,precio_eur,descripcion,campos_credenciales_json,plantilla_onboarding_id,stripe_price_id,activo,orden
notion,Notion,gestor_tareas,0,"Integrado de fábrica · 0h setup","[{""key"":""notion_token"",""label"":""Internal Integration Token"",""type"":""password"",""required"":true},{""key"":""database_id"",""label"":""Database ID Tareas"",""type"":""text"",""required"":true}]",,,true,1
clickup,ClickUp,gestor_tareas,119,"~2,5h setup · MCP oficial","[{""key"":""api_token"",""label"":""Personal API Token (pk_*)"",""type"":""password"",""required"":true},{""key"":""workspace_id"",""label"":""Workspace ID"",""type"":""text"",""required"":true},{""key"":""sync_lists"",""label"":""Lists a sincronizar (separadas por coma)"",""type"":""text"",""required"":true}]",,,true,2
asana,Asana,gestor_tareas,97,"~2h setup · trigger nativo","[{""key"":""personal_access_token"",""label"":""Personal Access Token"",""type"":""password"",""required"":true},{""key"":""workspace_id"",""label"":""Workspace ID"",""type"":""text"",""required"":true}]",,,true,3
trello,Trello,gestor_tareas,97,"~2h setup · trigger nativo","[{""key"":""api_key"",""label"":""API Key"",""type"":""text"",""required"":true},{""key"":""api_token"",""label"":""API Token"",""type"":""password"",""required"":true},{""key"":""board_id"",""label"":""Board ID a sincronizar"",""type"":""text"",""required"":true}]",,,true,4
google_sheets,Google Sheets,gestor_tareas,97,"~2h setup · OAuth Google","[{""key"":""sheet_id"",""label"":""Spreadsheet ID"",""type"":""text"",""required"":true},{""key"":""tab_name"",""label"":""Nombre de la pestaña"",""type"":""text"",""required"":true}]",,,true,5
jira,Jira,gestor_tareas,119,"~2,5h setup · MCP Atlassian","[{""key"":""email"",""label"":""Email Atlassian"",""type"":""text"",""required"":true},{""key"":""api_token"",""label"":""API Token"",""type"":""password"",""required"":true},{""key"":""site_url"",""label"":""URL de tu Jira (ej: tu-empresa.atlassian.net)"",""type"":""text"",""required"":true},{""key"":""project_key"",""label"":""Project Key"",""type"":""text"",""required"":true}]",,,true,6
monday,Monday.com,gestor_tareas,169,"~3,5h setup · sin trigger","[{""key"":""api_token"",""label"":""API Token v2"",""type"":""password"",""required"":true},{""key"":""board_id"",""label"":""Board ID"",""type"":""text"",""required"":true}]",,,true,7
holded,Holded,erp,0,"Integrado de fábrica · 0h setup","[{""key"":""api_key"",""label"":""API Key Holded"",""type"":""password"",""required"":true}]",,,true,10
quickbooks,QuickBooks Online,erp,147,"~3h setup · sin trigger","[{""key"":""client_id"",""label"":""OAuth Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""OAuth Client Secret"",""type"":""password"",""required"":true},{""key"":""realm_id"",""label"":""Company ID (Realm ID)"",""type"":""text"",""required"":true}]",,,true,11
xero,Xero,erp,147,"~3h setup · sin trigger","[{""key"":""client_id"",""label"":""OAuth Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""OAuth Client Secret"",""type"":""password"",""required"":true},{""key"":""tenant_id"",""label"":""Tenant ID"",""type"":""text"",""required"":true}]",,,true,12
odoo,Odoo,erp,169,"~3,5h setup · sin trigger","[{""key"":""url"",""label"":""URL Odoo (https://...)"",""type"":""text"",""required"":true},{""key"":""database"",""label"":""Database name"",""type"":""text"",""required"":true},{""key"":""username"",""label"":""Usuario"",""type"":""text"",""required"":true},{""key"":""api_key"",""label"":""API Key"",""type"":""password"",""required"":true}]",,,true,13
dynamics_365,Microsoft Dynamics 365,erp,169,"~3,5h setup · MCP oficial","[{""key"":""tenant_id"",""label"":""Azure AD Tenant ID"",""type"":""text"",""required"":true},{""key"":""client_id"",""label"":""App Registration Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""Client Secret"",""type"":""password"",""required"":true},{""key"":""environment"",""label"":""Environment name"",""type"":""text"",""required"":true}]",,,true,14
contasimple,Contasimple,erp,289,"~6h setup · API custom","[{""key"":""api_key"",""label"":""API Key Contasimple"",""type"":""password"",""required"":true},{""key"":""empresa_id"",""label"":""ID Empresa"",""type"":""text"",""required"":true}]",,,true,15
ghl,GoHighLevel,crm,0,"Integrado de fábrica · 0h setup","[{""key"":""api_key"",""label"":""GHL API Key"",""type"":""password"",""required"":true},{""key"":""location_id"",""label"":""Location ID"",""type"":""text"",""required"":true}]",,,true,20
hubspot,HubSpot,crm,97,"~2h setup · MCP oficial","[{""key"":""api_token"",""label"":""Private App Access Token"",""type"":""password"",""required"":true},{""key"":""portal_id"",""label"":""Hub ID"",""type"":""text"",""required"":true}]",,,true,21
pipedrive,Pipedrive,crm,97,"~2h setup · trigger nativo","[{""key"":""api_token"",""label"":""API Token"",""type"":""password"",""required"":true},{""key"":""company_domain"",""label"":""Company domain (ej: tu-empresa)"",""type"":""text"",""required"":true}]",,,true,22
activecampaign,ActiveCampaign,crm,97,"~2h setup · trigger nativo","[{""key"":""api_url"",""label"":""API URL (https://tu-cuenta.api-us1.com)"",""type"":""text"",""required"":true},{""key"":""api_key"",""label"":""API Key"",""type"":""password"",""required"":true}]",,,true,23
salesforce,Salesforce,crm,119,"~2,5h setup · Agentforce MCP","[{""key"":""instance_url"",""label"":""Instance URL"",""type"":""text"",""required"":true},{""key"":""client_id"",""label"":""Connected App Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""Client Secret"",""type"":""password"",""required"":true},{""key"":""username"",""label"":""Usuario"",""type"":""text"",""required"":true},{""key"":""password_token"",""label"":""Password + Security Token"",""type"":""password"",""required"":true}]",,,true,24
zoho_crm,Zoho CRM,crm,147,"~3h setup · sin trigger","[{""key"":""client_id"",""label"":""OAuth Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""OAuth Client Secret"",""type"":""password"",""required"":true},{""key"":""refresh_token"",""label"":""Refresh Token"",""type"":""password"",""required"":true},{""key"":""data_center"",""label"":""Data center (eu/com/in/au)"",""type"":""text"",""required"":true}]",,,true,25
clientify,Clientify,crm,289,"~6h setup · API custom","[{""key"":""api_token"",""label"":""API Token Clientify"",""type"":""password"",""required"":true}]",,,true,26
clockify,Clockify,time_tracking,0,"Integrado de fábrica · 0h setup","[{""key"":""api_key"",""label"":""Clockify API Key"",""type"":""password"",""required"":true},{""key"":""workspace_id"",""label"":""Workspace ID"",""type"":""text"",""required"":true}]",,,true,30
harvest,Harvest,time_tracking,97,"~2h setup · nodo nativo","[{""key"":""account_id"",""label"":""Account ID"",""type"":""text"",""required"":true},{""key"":""personal_token"",""label"":""Personal Access Token"",""type"":""password"",""required"":true}]",,,true,31
toggl,Toggl Track,time_tracking,147,"~3h setup · solo trigger","[{""key"":""api_token"",""label"":""API Token"",""type"":""password"",""required"":true},{""key"":""workspace_id"",""label"":""Workspace ID"",""type"":""text"",""required"":true}]",,,true,32
timely,Timely,time_tracking,289,"~6h setup · API custom","[{""key"":""api_key"",""label"":""API Key"",""type"":""password"",""required"":true},{""key"":""account_id"",""label"":""Account ID"",""type"":""text"",""required"":true}]",,,true,33
google_drive,Google Drive,storage,0,"Integrado de fábrica · 0h setup","[{""key"":""root_folder_id"",""label"":""Root folder ID"",""type"":""text"",""required"":true}]",,,true,40
dropbox,Dropbox,storage,97,"~2h setup · MCP oficial","[{""key"":""access_token"",""label"":""Access Token"",""type"":""password"",""required"":true},{""key"":""root_namespace"",""label"":""Root namespace ID (opcional)"",""type"":""text"",""required"":false}]",,,true,41
onedrive,OneDrive,storage,97,"~2h setup · trigger nativo","[{""key"":""tenant_id"",""label"":""Azure AD Tenant ID"",""type"":""text"",""required"":true},{""key"":""client_id"",""label"":""App Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""Client Secret"",""type"":""password"",""required"":true},{""key"":""drive_id"",""label"":""Drive ID"",""type"":""text"",""required"":true}]",,,true,42
box,Box,storage,97,"~2h setup · MCP Apps","[{""key"":""client_id"",""label"":""OAuth Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""Client Secret"",""type"":""password"",""required"":true},{""key"":""enterprise_id"",""label"":""Enterprise ID"",""type"":""text"",""required"":true}]",,,true,43
sharepoint,Microsoft SharePoint,storage,147,"~3h setup · sin trigger","[{""key"":""tenant_id"",""label"":""Azure AD Tenant ID"",""type"":""text"",""required"":true},{""key"":""client_id"",""label"":""App Client ID"",""type"":""text"",""required"":true},{""key"":""client_secret"",""label"":""Client Secret"",""type"":""password"",""required"":true},{""key"":""site_url"",""label"":""SharePoint Site URL"",""type"":""text"",""required"":true}]",,,true,44
fireflies,Fireflies,reuniones,0,"Integrado de fábrica · 0h setup","[{""key"":""api_key"",""label"":""Fireflies API Key"",""type"":""password"",""required"":true}]",,,true,50
tldv,tl;dv,reuniones,193,"~4h setup · webhooks","[{""key"":""api_key"",""label"":""tl;dv API Key"",""type"":""password"",""required"":true},{""key"":""workspace_id"",""label"":""Workspace ID"",""type"":""text"",""required"":true}]",,,true,51
read_ai,Read.ai,reuniones,193,"~4h setup · webhooks","[{""key"":""api_key"",""label"":""Read.ai API Key"",""type"":""password"",""required"":true}]",,,true,52
otter_ai,Otter.ai,reuniones,289,"~6h setup · API custom","[{""key"":""api_key"",""label"":""Otter API Key"",""type"":""password"",""required"":true},{""key"":""user_id"",""label"":""User ID"",""type"":""text"",""required"":true}]",,,true,53
tactiq,Tactiq,reuniones,289,"~6h setup · API custom","[{""key"":""api_token"",""label"":""API Token Tactiq"",""type"":""password"",""required"":true}]",,,true,54
